-200652.0	-2848145.0	-4293414.0	-3610174.0
-103430.0	-1726162.0	-4153383.0	-2902276.0
-105069.0	-2800010.0	-4421799.0	-3591609.0
-241108.0	-2185581.0	-4105272.0	-3317445.0
-172841.0	-2362954.0	-2258693.0	-2281301.0
-68713.0	-919686.0	-1777388.0	-1086105.0
-70730.0	-451226.0	-1841603.0	-686784.0
-123959.0	-460352.0	-2022032.0	-1111074.0
-84278.0	-627726.0	-1771927.0	-957786.0
-52083.0	-485805.0	-1651378.0	-561523.0
-74129.0	-506957.0	-1511716.0	-801915.0
-62514.0	-462162.0	-1044818.0	-684443.0
-76730.0	-424125.0	-1202538.0	-872962.0
-64467.0	-545675.0	-1318109.0	-871227.0
-80400.0	-450308.0	-767788.0	-661279.0
-70391.0	-83458.0	-400602.0	-665920.0
-71747.0	-100405.0	-263598.0	-201190.0
-73826.0	-73598.0	-294909.0	-84739.0
-47479.0	-150386.0	-341772.0	-178571.0
-57936.0	-220357.0	-313966.0	-146021.0
-113805.0	-81701.0	-173693.0	-112957.0
-37994.0	-87837.0	-191746.0	-190519.0
-68003.0	-86379.0	-159048.0	-89790.0
-46269.0	-92547.0	-193256.0	-83026.0
-98738.0	-75118.0	-141226.0	-97319.0
-54646.0	-190565.0	-197984.0	-120507.0
-96445.0	-114794.0	-161336.0	-181921.0
-81392.0	-122648.0	-179700.0	-161371.0
-73622.0	-161012.0	-131687.0	-136068.0
-38229.0	-73273.0	-191395.0	-76210.0
-46143.0	-107581.0	-155203.0	-119680.0
-69586.0	-109115.0	-158763.0	-100026.0
-35576.0	-63772.0	-113847.0	-93412.0
-29076.0	-45413.0	-162676.0	-70174.0
-50561.0	-104421.0	-148681.0	-92350.0
-41025.0	-76745.0	-132860.0	-231466.0
-72750.0	-58865.0	-129962.0	-56887.0
-29011.0	-38462.0	-105341.0	-76159.0
-36124.0	-42822.0	-97725.0	-58074.0
-41972.0	-57948.0	-132119.0	-165086.0
