Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
16,0.0,0.0,0.0,804.0,16.0,94.0,804.0,0.0,94.0,94.0,0.0,2.5341243743896484,,,,,,,,,,,,,,,,,,,,,35.62724243547709,17.42636889708592,61.12160819257725,1.0,0.62444323,0.040150717,0.69145596,0.535015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,854.0,17.0,50.0,854.0,0.0,50.0,50.0,0.0,2.5969204902648926,,,,,,,,,,,,,,,,,,,,,21.79120129323225,11.319210734827644,39.49939328624632,1.0,0.632149,0.043837346,0.6927638,0.5485915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,941.0,18.0,87.0,941.0,0.0,87.0,87.0,0.0,2.6867640018463135,,,,,,,,,,,,,,,,,,,,,33.67237599240095,16.635585048812818,58.28791200667789,1.0,0.6302803,0.044527195,0.69305456,0.5108192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,968.0,19.0,27.0,968.0,0.0,27.0,27.0,0.0,2.7326438426971436,,,,,,,,,,,,,,,,,,,,,12.858995260604706,6.817259378011516,23.765728565289614,1.0,0.61498904,0.04811532,0.693141,0.50603956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1000.0,20.0,32.0,1000.0,0.0,32.0,32.0,0.0,2.794475555419922,,,,,,,,,,,,,,,,,,,,,14.915791436960964,7.888615688174705,27.50196640421462,1.0,0.6035483,0.05122764,0.69155586,0.52636147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,0.0,1057.0,21.0,57.0,1057.0,0.0,57.0,57.0,0.0,2.8645007610321045,,,,,,,,,,,,,,,,,,,,,24.25721728909893,12.489794765062515,43.609480954761196,1.0,0.62584364,0.04066148,0.6928716,0.531358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,1130.0,22.0,73.0,1130.0,0.0,73.0,73.0,0.0,2.950274705886841,,,,,,,,,,,,,,,,,,,,,29.49863589119277,14.863988479001291,51.98585434285783,1.0,0.62436825,0.043377914,0.692401,0.5177015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0.0,1168.0,23.0,38.0,1168.0,0.0,38.0,38.0,0.0,3.016265869140625,,,,,,,,,,,,,,,,,,,,,17.29711817375877,9.103635912603295,31.74454049896126,1.0,0.60961956,0.050956704,0.6930256,0.538008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,1207.0,24.0,39.0,1207.0,0.0,39.0,39.0,0.0,3.0720884799957275,,,,,,,,,,,,,,,,,,,,,17.685066299918073,9.29894073774863,32.427095093971644,1.0,0.61336714,0.049271543,0.6918452,0.5329207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0.0,1259.0,25.0,52.0,1259.0,0.0,52.0,52.0,0.0,3.1370036602020264,,,,,,,,,,,,,,,,,,,,,22.507073449516273,11.662415622999474,40.703355359850015,1.0,0.626543,0.04729836,0.6931218,0.5280378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
