Episode #,iteration,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
16,,0.0,0.0,0.0,247.0,16.0,16.0,255.0,0.0,16.0,16.0,0.0,0.7128915786743164,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,0.57600343,0.049512282,0.69306266,0.5197414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0.0,0.0,0.0,259.0,17.0,12.0,267.0,0.0,12.0,12.0,0.0,0.7478268146514893,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.5716198,0.044829067,0.66723394,0.5140002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.0,0.0,0.0,271.0,18.0,12.0,279.0,0.0,12.0,12.0,0.0,0.78173828125,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.5791374,0.04664274,0.6812404,0.52313757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.0,0.0,0.0,0.0,282.0,19.0,11.0,290.0,0.0,11.0,11.0,0.0,0.8156490325927734,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.57898545,0.047825504,0.69272506,0.5146581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0.0,0.0,0.0,307.0,20.0,25.0,325.0,0.0,25.0,25.0,0.0,0.8704679012298584,,,,,,,,,,,,,,,,,,,,,12.01725832206212,6.373078819321136,22.21786406008531,1.0,0.584959,0.0456914,0.6931406,0.5274535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0,0.0,0.0,324.0,21.0,17.0,342.0,0.0,17.0,17.0,0.0,0.9213733673095703,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,0.58514833,0.05655275,0.6927625,0.51055187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.0,0.0,0.0,335.0,22.0,11.0,353.0,0.0,11.0,11.0,0.0,0.9632914066314697,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5768759,0.043954253,0.66595685,0.50457704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.0,0.0,0.0,346.0,23.0,11.0,364.0,0.0,11.0,11.0,0.0,0.9972329139709473,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.57710075,0.04703597,0.6886523,0.5231707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0.0,0.0,0.0,363.0,24.0,17.0,381.0,0.0,17.0,17.0,0.0,1.036128044128418,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,0.59373975,0.05310632,0.69313514,0.53347063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0.0,0.0,0.0,382.0,25.0,19.0,400.0,0.0,19.0,19.0,0.0,1.0760188102722168,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.5750676,0.046524864,0.69279873,0.51820594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
