Episode #,iteration,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,0.0,1.0,13.0,1.0,13.0,13.0,0.0,,,0.0,0.008976221084594727,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0,0.0,1.0,27.0,2.0,14.0,27.0,0.0,,,0.0,0.09242868423461914,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.0,0.0,1.0,61.0,3.0,34.0,61.0,0.0,,,0.0,0.1251816749572754,,,,,,,,,,,,,,,,,,,,,15.719910293991003,8.301984330287356,28.944677272770747,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.0,0.0,1.0,73.0,4.0,12.0,73.0,0.0,,,0.0,0.1531076431274414,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0,0.0,1.0,113.0,5.0,40.0,113.0,0.0,,,0.0,0.18605875968933105,,,,,,,,,,,,,,,,,,,,,18.070510245995916,9.49224187219286,33.102824143031924,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.0,0.0,0.0,147.0,6.0,34.0,147.0,0.0,34.0,34.0,0.0,0.33424949645996094,,,,,,,,,,,,,,,,,,,,,15.719910293991003,8.301984330287356,28.944677272770747,1.0,0.68445885,0.009591251,0.6931385,0.6583564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0,0.0,0.0,166.0,7.0,19.0,166.0,0.0,19.0,19.0,0.0,0.3741755485534668,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.6874914,0.0075336723,0.6930592,0.6653044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0,0.0,0.0,195.0,8.0,29.0,195.0,0.0,29.0,29.0,0.0,0.42754316329956055,,,,,,,,,,,,,,,,,,,,,13.689783926993245,7.252413693439139,25.282790566840347,1.0,0.6759967,0.016854746,0.69314474,0.6242767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,0.0,0.0,0.0,204.0,9.0,9.0,204.0,0.0,9.0,9.0,0.0,0.47943687438964844,,,,,,,,,,,,,,,,,,,,,4.868972232004989,2.4684556783231795,8.648275251635908,1.0,0.6810213,0.0097349975,0.6925044,0.6643541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
