-229645.0	-2892839.0	-4282741.0	-3664397.0
-101289.0	-1694176.0	-4333420.0	-2728243.0
-71787.0	-1526992.0	-2467601.0	-1979133.0
-98593.0	-864206.0	-2932122.0	-1313059.0
-103043.0	-1287530.0	-2825743.0	-1730556.0
-67777.0	-662880.0	-1975596.0	-909705.0
-44331.0	-761620.0	-2353594.0	-1339513.0
-90699.0	-819433.0	-1704078.0	-1197223.0
-84889.0	-711181.0	-1953282.0	-981661.0
-83429.0	-557304.0	-1618194.0	-929840.0
-62150.0	-352941.0	-1626568.0	-848580.0
-28993.0	-58059.0	-562765.0	-259382.0
-52092.0	-23662.0	-226266.0	-52155.0
-15355.0	-22332.0	-93105.0	-38527.0
-41430.0	-21903.0	-87994.0	-23298.0
-20813.0	-17783.0	-73182.0	-34496.0
-16230.0	-21762.0	-70231.0	-118134.0
-25084.0	-20669.0	-53170.0	-29829.0
-14191.0	-22122.0	-76852.0	-21682.0
-9601.0	-21122.0	-61449.0	-21157.0
-7955.0	-17142.0	-42168.0	-19405.0
-19508.0	-14823.0	-43186.0	-20854.0
-23212.0	-20314.0	-43172.0	-32334.0
-13024.0	-16269.0	-52109.0	-19859.0
-13857.0	-13444.0	-40645.0	-19578.0
-27255.0	-13626.0	-43594.0	-26058.0
-15002.0	-11650.0	-40250.0	-36638.0
-25904.0	-14755.0	-39739.0	-26239.0
-19824.0	-22526.0	-42787.0	-21556.0
-14580.0	-17396.0	-40400.0	-23011.0
-20460.0	-13793.0	-40430.0	-20346.0
-12927.0	-12872.0	-37950.0	-20877.0
-18784.0	-12970.0	-40610.0	-17619.0
-13267.0	-12171.0	-49105.0	-21106.0
-6771.0	-15919.0	-37201.0	-19872.0
-5020.0	-13632.0	-39203.0	-20430.0
-20178.0	-13628.0	-39744.0	-18817.0
-10035.0	-14577.0	-36782.0	-16059.0
-7911.0	-11701.0	-36404.0	-16984.0
-13283.0	-11065.0	-36080.0	-18450.0
