Episode #,iteration,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,0.0,1.0,15.0,1.0,15.0,15.0,0.0,,,0.0,0.00997304916381836,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0,0.0,1.0,26.0,2.0,11.0,26.0,0.0,,,0.0,0.09274911880493164,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.0,0.0,1.0,49.0,3.0,23.0,49.0,0.0,,,0.0,0.12270045280456543,,,,,,,,,,,,,,,,,,,,,11.164409046616935,5.919683556672354,20.638571635634438,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.0,0.0,1.0,67.0,4.0,18.0,67.0,0.0,,,0.0,0.15162324905395508,,,,,,,,,,,,,,,,,,,,,8.982568797548188,4.744552000897199,16.548623854991234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0,0.0,1.0,83.0,5.0,16.0,83.0,0.0,,,0.0,0.18151211738586426,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1.0,104.0,6.0,21.0,104.0,0.0,,,0.0,0.22543978691101074,,,,,,,,,,,,,,,,,,,,,10.300280732879035,5.456875906406704,19.027213177874135,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0,0.0,0.0,113.0,7.0,9.0,113.0,0.0,9.0,9.0,0.0,0.3301396369934082,,,,,,,,,,,,,,,,,,,,,4.868972232004989,2.4684556783231795,8.648275251635908,1.0,0.6737629,0.0067568347,0.69023216,0.666143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0,0.0,0.0,128.0,8.0,15.0,128.0,0.0,15.0,15.0,0.0,0.3670492172241211,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.67499036,0.0091505125,0.68785214,0.65929246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.0,0.0,0.0,140.0,9.0,12.0,140.0,0.0,12.0,12.0,0.0,0.40195584297180176,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.67415977,0.008890549,0.6910308,0.65687823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.0,0.0,0.0,164.0,10.0,24.0,164.0,0.0,24.0,24.0,0.0,0.45979952812194824,,,,,,,,,,,,,,,,,,,,,11.592233082977819,6.147545135447674,21.432185919278094,1.0,0.6743546,0.009516074,0.69134414,0.65017325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.0,0.0,0.0,173.0,11.0,9.0,173.0,0.0,9.0,9.0,0.0,0.49567389488220215,,,,,,,,,,,,,,,,,,,,,4.868972232004989,2.4684556783231795,8.648275251635908,1.0,0.6727571,0.008649769,0.692055,0.65845925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.0,0.0,0.0,184.0,12.0,11.0,184.0,0.0,11.0,11.0,0.0,0.5296149253845215,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.674742,0.0073281187,0.69314516,0.6638114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,0.0,0.0,0.0,195.0,13.0,11.0,195.0,0.0,11.0,11.0,0.0,0.5633158683776855,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.6692897,0.009497927,0.69120836,0.6547642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.0,0.0,0.0,210.0,14.0,15.0,219.0,0.0,15.0,15.0,0.0,0.6111941337585449,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.67100054,0.012945638,0.689654,0.6352709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0.0,0.0,0.0,222.0,15.0,12.0,231.0,0.0,12.0,12.0,0.0,0.6540431976318359,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.6743441,0.007711139,0.69307125,0.66216886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0.0,0.0,0.0,240.0,16.0,18.0,249.0,0.0,18.0,18.0,0.0,0.7009584903717041,,,,,,,,,,,,,,,,,,,,,8.982568797548188,4.744552000897199,16.548623854991234,1.0,0.67687535,0.009150208,0.6931461,0.65888274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0.0,0.0,0.0,257.0,17.0,17.0,266.0,0.0,17.0,17.0,0.0,0.7388477325439453,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,0.67106634,0.0128939105,0.69212586,0.64376605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.0,0.0,0.0,270.0,18.0,13.0,279.0,0.0,13.0,13.0,0.0,0.7747492790222168,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.6761021,0.009223425,0.6927351,0.66034424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.0,0.0,0.0,0.0,288.0,19.0,18.0,297.0,0.0,18.0,18.0,0.0,0.8146438598632812,,,,,,,,,,,,,,,,,,,,,8.982568797548188,4.744552000897199,16.548623854991234,1.0,0.67540103,0.009555531,0.69300425,0.6573525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0.0,0.0,0.0,298.0,20.0,10.0,314.0,0.0,10.0,10.0,0.0,0.8725013732910156,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.67173517,0.00760078,0.6894967,0.6596647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0,0.0,0.0,308.0,21.0,10.0,324.0,0.0,10.0,10.0,0.0,0.9083619117736816,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.67149484,0.008538558,0.69147354,0.65828955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.0,0.0,0.0,331.0,22.0,23.0,347.0,0.0,23.0,23.0,0.0,0.9522683620452881,,,,,,,,,,,,,,,,,,,,,11.164409046616935,5.919683556672354,20.638571635634438,1.0,0.672639,0.011134021,0.69313985,0.65539485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.0,0.0,0.0,347.0,23.0,16.0,363.0,0.0,16.0,16.0,0.0,0.9901797771453857,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,0.6721257,0.011014895,0.69299763,0.6542061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0.0,0.0,0.0,360.0,24.0,13.0,376.0,0.0,13.0,13.0,0.0,1.030578851699829,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.66960615,0.011651751,0.6895406,0.64881337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0.0,0.0,0.0,379.0,25.0,19.0,395.0,0.0,19.0,19.0,0.0,1.0824415683746338,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.6730114,0.012608564,0.6928556,0.64215946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,0.0,0.0,0.0,394.0,26.0,15.0,419.0,0.0,15.0,15.0,0.0,1.1293792724609375,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.671663,0.00799127,0.6930101,0.6604983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,0.0,0.0,0.0,409.0,27.0,15.0,434.0,0.0,15.0,15.0,0.0,1.166271686553955,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.6735056,0.010394296,0.6924974,0.65765846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0.0,0.0,0.0,420.0,28.0,11.0,445.0,0.0,11.0,11.0,0.0,1.2003366947174072,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.6717315,0.007866662,0.691259,0.66005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,0.0,0.0,0.0,457.0,29.0,37.0,482.0,0.0,37.0,37.0,0.0,1.2531788349151611,,,,,,,,,,,,,,,,,,,,,16.906647300104645,8.906307801217471,31.055091413092182,1.0,0.6705715,0.022407152,0.69307905,0.59704494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0.0,0.0,0.0,470.0,30.0,13.0,495.0,0.0,13.0,13.0,0.0,1.296048879623413,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.67615044,0.008082656,0.6931433,0.6650349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0.0,0.0,0.0,496.0,31.0,26.0,530.0,0.0,26.0,26.0,0.0,1.360508918762207,,,,,,,,,,,,,,,,,,,,,12.439505518116825,6.596308969085059,22.99568541948446,1.0,0.6761267,0.0102615105,0.6930835,0.6579615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0.0,0.0,0.0,510.0,32.0,14.0,544.0,0.0,14.0,14.0,0.0,1.3964147567749023,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,0.67148024,0.008046097,0.6930934,0.6617158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,0.0,0.0,0.0,529.0,33.0,19.0,563.0,0.0,19.0,19.0,0.0,1.4373059272766113,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.6728483,0.011249142,0.6921463,0.6522163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,0.0,0.0,0.0,539.0,34.0,10.0,573.0,0.0,10.0,10.0,0.0,1.4742052555084229,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.6721847,0.007652999,0.6921792,0.6645406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,0.0,0.0,0.0,556.0,35.0,17.0,590.0,0.0,17.0,17.0,0.0,1.5370380878448486,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,0.6530389,0.028882993,0.6901971,0.59963423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5.0,0.0,0.0,0.0,568.0,36.0,12.0,602.0,0.0,12.0,12.0,0.0,1.5743649005889893,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.67402726,0.009321044,0.6916325,0.6544446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0.0,0.0,0.0,578.0,37.0,10.0,614.0,0.0,10.0,10.0,0.0,1.6114065647125244,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.6724757,0.009043276,0.69290185,0.6580081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0.0,0.0,0.0,588.0,38.0,10.0,624.0,0.0,10.0,10.0,0.0,1.6453673839569092,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.6687496,0.0090138875,0.68979394,0.6570377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
